Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,AgreeToParticipate,AttentionCheck_exp,AttentionCheck_ctrl,RateOverallQuality,ExplainQuality,Likert_1,Likert_2,Likert_3,Likert_4,Likert_5,Likert_6,Likert_7,Likert_8,Likert_9,Likert_10,ExplainIssues,Resources,Courses,AI_Likert_1,AI_Likert_2,AI_Likert_3,AI_Likert_4,AI_Likert_5,AI_Likert_6,CreditHours,Age,Gender,Gender_4_TEXT,RaceEthnicity,RaceEthnicity_6_TEXT,FirstGen,InformedConsent,flyer,condition,Q_DONT_SAVE,noticed_security_bug,POTENTIAL_BOT
2689,TRUE,7/22/2025 06:46,R_23fOBzbx4lxIjwI,anonymous,EN,0.600000024,I agree,This code snippet was generated using AI.,,High quality,"The code has decent error checking: it uses snprintf() as opposed to sprintf() as well as making sure that the file pointer exists before attempting to read from it. Overflow of userinfo is prevented. Structure is clear, comments are meaningful, and code is formatted well, though these are less important factors. One key improvement to the code would be checking the number of command line arguments before accessing argv[1]. This is one factor that may prevent the code from being considered ""Very high quality"" in my opinion. ",Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,"The code should check the number of command line arguments before accessing argv[1]; otherwise, an error may occur if there is only one argument.","I am unsure of any specific resources so I would likely search the internet to look for reputable sources that offer general guidance and continue searching from there. To me, this is the option that allows for a high-level view of different options that you can slowly narrow down. I would also consider asking someone who is knowledgeable or using an AI tool, which can give a targeted and quick assessment of the specific code. Afterwards I would research its suggestions accordingly to determine if they are appropriate.",NA,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,90 or more,21,Woman,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
332,TRUE,7/23/2025 08:44,R_1Ym2PGCwu0UVMcO,anonymous,EN,1,I agree,This code snippet was generated using AI.,,High quality,Good variable naming and decent amount of comments,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,NA,I might have tried to run it in an IDE.,"CS 250,CS 251,CS 252",Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,between 60 and 89,21,Man,NA,"Hispanic, Latino, or Spanish",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
384,TRUE,7/23/2025 12:56,R_7MKvnm5Z5J2avQL,anonymous,EN,0.400000006,I agree,,This code snippet is written in C.,Very high quality,"Concise, effective, reasonable commenting. 
",Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,NA,I would’ve created the project locally with tests just to make sure things process as expected.,"CS 250,CS 251",Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,90 or more,21,Woman,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
620,TRUE,7/24/2025 14:45,R_6lg8dqIFKqkNz2h,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,High quality,NA,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,The internet to better understand what specific functions do and how to use them properly. I would also use an LLM like Claude to achieve this purpose too.,NA,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,between 60 and 89,18,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
149,TRUE,7/27/2025 17:40,R_3ZGVUjhymVAAMq5,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,Neither high nor low quality,NA,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,NA,NA,CS 250,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,between 60 and 89,19,Woman,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
209,TRUE,8/7/2025 14:29,R_19JPYBXSflivdkZ,anonymous,EN,0.800000012,I agree,This code snippet was generated using AI.,,High quality,"very basic, by the book code",Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,NA,I would have tested the code myself,NA,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,between 60 and 89,NA,NA,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
382,TRUE,8/7/2025 14:31,R_60BM9nvUPgus7Ka,anonymous,EN,1,I agree,This code snippet was generated using AI.,,Neither high nor low quality,Missing some key things like checking argc length before assigning to argv[1],Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,NA,Gpt,"CS 250,CS 251,CS 252",Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,90 or more,22,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
217,TRUE,8/7/2025 14:32,R_3F8PuZLjwOOyNGt,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,Neither high nor low quality,good error checking but vulernable to buffer overflows. Seems straightforward ,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,NA, char userinfo[100] = {0}; feels off to me,Static analyzers such as semgrep,"CS 250,CS 251,CS 252,CS 355,CS 426",Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,90 or more,21,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
877,TRUE,8/7/2025 14:40,R_7rIwqkV11OZhRWg,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,High quality,"Overall pretty good. descriptive comments (though the second half doesnt have any, which I wish it did), good variable names (with the exception of FILE *f, would prefer to name it ""file""), proper spacing. ",Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,"argv[1] is never validated, it is vulnerable to code injection with the snprintf() call, the buffer size is hard-coded and should be dynamic","frankly, some LLM like chatgpt or deepseek. they are fast, accessible, and easily find specific issues. they also are pretty solid at explaining why things do or dont work, which makes it easy to learn for the future. Obviously, they are sometimes wrong, and I would try to look up C documentation or stack overflow to validate the answer the LLM gave me. ","CS 250,CS 251,CS 252",Agree,Disagree,Agree,Agree,Agree,Agree,90 or more,21,Man,NA,Prefer to self-describe:,Middle eastern,No,"Yes, I give my permission for the researchers to use my data.",,control,,TRUE,FALSE
610,TRUE,8/7/2025 14:42,R_3CH35Q2Iw2psoxY,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,High quality,"Variables are named logically, comments explain what parts of the code are doing. Spacing and formatting seems to all be correct. F makes sense for file although some people don’t like only 1 letter variables.",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,It seems that they may not be taking into account the null character when defining char arrays although we were not taught interfacing with the command line in this way.,C docs to check the functions they use.,NA,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,between 60 and 89,19,Man,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
889,TRUE,8/7/2025 14:44,R_1j3M4LMw8EOPj7b,anonymous,EN,0.800000012,I agree,This code snippet was generated using AI.,,High quality,NA,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,NA,ChatGPT and other AI Resources,CS 251,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,between 30 and 59,19,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
2644,TRUE,8/7/2025 15:09,R_73qZUnRTJb1xAzv,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,Neither high nor low quality,"It is overall readable, but there's odd bits to the formatting choices that throw me off. There are some comments, ",Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,NA,NA,"CS 250,CS 251,CS 252",Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,90 or more,21,Man,NA,"Hispanic, Latino, or Spanish",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
1709,TRUE,8/7/2025 15:38,R_33ZCfqFjWC3ph2m,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,Neither high nor low quality,"The code is commented, well-formatted, and well-structured. However, it lacks error checking/handling in cases such as popen() failing, and doesn't have bounds checks for the number of arguments, so username might be NULL. I would say it's high-quality for an example, where error handling isn't as important, but not high-quality for use in an actual program. Additionally, there is a bit of redundancy with the pclose(f); and return 0; lines. Those could both be pulled out of the if/else consequence blocks.",Strongly agree,Agree,Neither agree nor disagree,NA,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,"The code is not very testable or adaptable, because it is not separated into logical units. It would be better to split the logic which spawns the shell command into a separate function so that can be tested as a unit. The application as a whole though could easily be put through an integration test by mocking the ""who"" program using, e.g., a shell script.

Additionally, the code has some helpful comments, but could benefit from some more, especially one explaining the purpose of the program, as that would make it easier to read and understand.

Due to lack of error handling and bounds checks, it is not secure or free of bugs.","I would consult the manual pages for the functions being used, e.g. popen and pclose, to see exactly what they return and if there are any important notes/pitfalls mentioned in the manual pages.","CS 250,CS 251,CS 252,CS 426",Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,between 60 and 89,20,Man,NA,"Asian, Native Hawaiian, or Pacific Islander,White",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
362,TRUE,8/7/2025 16:17,R_7SsVM4yBsW9dv2N,anonymous,EN,1,I agree,,This code snippet is written in C.,High quality,"It has some comments and good variable names, but the second half of the code could use more comments for clarity.",Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,NA,"Online forums and resources such as StackOverflow because they contain information about a wide variety of CS subjects, written by real people who have had similar code problems.","CS 250,CS 251,CS 252",Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,90 or more,21,Man,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
466,TRUE,8/7/2025 17:06,R_7UznX95LBr4c8Kd,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,Neither high nor low quality,"There are a lot of number with no meaning used, defining these would make the code much better. Also, the entirety of the if-else statements are not commented.",Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,NA,"The easiest would be a LLM, however, these can not only sometimes be incorrect but also are of questionable ethics.",NA,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,between 60 and 89,19,Man,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
1314,TRUE,8/7/2025 18:12,R_4jfbntyXQfFtalF,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,Very low quality,"char *username = argv[1];

This doesn't do any validation with argc to ensure argv[1] exists. 

char command[100] = {0};
char userinfo[100] = {0};

These can result in truncated input if command or userinfo is not guaranteed to be under 100 chars. A loop can be alternatively used if this is not guaranteed.

fgets(userinfo, sizeof(userinfo) - 1, f);

The return value is never checked for error.

There are two else clauses. One of which should be converted to else if.
",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,"AI chatbot to generate some assessments. Then judge if I agree with any of the assessments.

Google further if unsure.","CS 250,CS 251",Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,between 60 and 89,22,NA,NA,NA,NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
449,TRUE,8/7/2025 18:47,R_3hmwK76EZeX6Gc1,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,High quality,I had to think a little bit about the if statements,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Does not check the length of argc,I would look at errors that functions like popen could encounter.,"CS 250,CS 251,CS 252",Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,90 or more,18,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
322,TRUE,8/8/2025 03:58,R_3cjBervtm4NKyji,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,High quality,code is easy to follow; descriptive comments everywhere,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,NA,"chatgpt, vm to run the code
","CS 250,CS 251,CS 252",Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,90 or more,19,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
885,TRUE,8/8/2025 07:42,R_5VDSXbggaEap2vw,anonymous,EN,1,I agree,This code snippet was generated using AI.,,High quality,"No outright visible errors, however some questionable design choices. Seems to use overly complicated functions to do a relatively simple task.",Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,NA,I would search up the functions and libraries to use to ensure that they are used correctly and necessarily.,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,between 30 and 59,20,NA,NA,NA,NA,NA,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
586,TRUE,8/8/2025 08:00,R_4VOCFTCRupqhWff,anonymous,EN,0.200000003,I agree,,This code snippet is written in C.,High quality,"There is error checking and comments. However, there could be more comments.",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,only the len of the output is checked not the actual output. so there could be usernames that are part of other usernames that become false positives,a simpls google search on common security issues perhaps? the code is short not difficult to evaluate.GenAI also comes to mind,"CS 250,CS 251,CS 252",Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,between 60 and 89,19,NA,NA,NA,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,TRUE
510,TRUE,8/8/2025 08:21,R_1zw006OEsRivvoC,anonymous,EN,1,I agree,,This code snippet is written in C.,High quality,"It appears relatively well organized, has comments where needed to explain some things (but not too many), and is easily readable.",Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,NA,"I may have googled 'security concerns with x', where x is functions that were used that deal with io/kernel actions like popen, fgets, etc.","CS 250,CS 251,CS 252,CS 354",Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Disagree,90 or more,21,Man,NA,NA,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
198,TRUE,8/8/2025 09:59,R_1THdg4gqZgThhK1,anonymous,EN,1,I agree,This code snippet was generated using AI.,,High quality,"Its pretty good code, but the code doesn't set the file pointer to NULL after closing it, so not very high quality.",Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,NA,Probably AI because it would be easy to analyze the code.,NA,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Agree,between 30 and 59,18,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
750,TRUE,8/10/2025 20:51,R_1scJeKkIZO8Or8h,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,Neither high nor low quality,"Looks like they are on a Unix like machine so utmp.h would work be a more stable interface than running a shell command. For example, what if the shell was set up by a psychopath and `who` was aliased to something else? Executing shell opens the chance of rce (but there's no rce here).

userinfo can overflow if there are a lot of users.

However the code is still well written and uses snprintf (good!). Nothing I think are code smells but this is kinda subjective.",Strongly agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Some of the questions are hard to answer, like ""The code is adaptable."" The code is pretty short, so even if it was utter garbage someone could rewrite it in a few minutes if they had to adapt it.

But I think the docs are good. Some people say to avoid comments that simply describe what's happening (only 'why' comments) but I'd rather have these comments when reading through a big codebase than not.",Put it on stackoverflow and say something confidently wrong.,"CS 250,CS 252",Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,90 or more,21,Man,NA,NA,NA,Yes,"Yes, I give my permission for the researchers to use my data.",,experimental,,TRUE,FALSE
405,TRUE,8/12/2025 05:23,R_38SQ7HgM13GwtgC,anonymous,EN,0.800000012,I agree,,This code snippet is written in C.,High quality,"The code is structured well with comments, while also following C conventions such as formatting and variables naming. It checks for null pointers and other edge case/error scenarios. it makes sure to close pointer but forgets to set them to null in order to not leave hanging pointers",Agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,NA,i would run the code myself and test it out as far as i could. Apart from that i would consult a TA or proffesor. I would also consider looking at forums and worst case scenario ai,NA,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,between 60 and 89,19,Man,NA,"Asian, Native Hawaiian, or Pacific Islander",NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
456,TRUE,8/12/2025 10:50,R_51oBq8tRscc84Dg,anonymous,EN,0.899999976,I agree,This code snippet was generated using AI.,,Neither high nor low quality,It is too simple to jump out as high or low quality. It just looks like that's how you solve that task,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,"More comments in the lower block might be nicer. I'm not exactly sure if that's how you'd call that command, but it probably is.","I don't do security, I guess I could test for memory leaks with something like valgrind but other than that, it's out of my expertise","CS 250,CS 251,CS 252,CS 354",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,90 or more,26,Man,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,experimental,,FALSE,FALSE
350,TRUE,8/12/2025 15:13,R_3RyG0Gem4PoQ5cz,anonymous,EN,0.899999976,I agree,,This code snippet is written in C.,Very high quality,"Appropriate spacing, good comments, consistent tabbing",Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,unsure,"LLMs such as chatgpt, manual testing in vim","CS 250,CS 251,CS 252",Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,90 or more,20,Man,NA,White,NA,No,"Yes, I give my permission for the researchers to use my data.",,control,,FALSE,FALSE
